
HR,Name,HD,ADS,VarID,RAJ2000,DEJ2000,Vmag,B-V,SpType,NoteFlag
   1,          ,     3,   46,         ,00 05 09.9,+45 13 45, 6.70, 0.07,  A1Vn              ,
   2,          ,     6,     ,         ,00 05 03.8,-00 30 11, 6.29, 1.10, gG9                ,
   3, 33    Psc,    28,     ,Var?     ,00 05 20.1,-05 42 27, 4.61, 1.04,  K0IIIbCN-0.5      ,*
   4, 86    Peg,    87,     ,         ,00 05 42.0,+13 23 46, 5.51, 0.90,  G5III             ,
   5,          ,   123,   61,V640 Cas ,00 06 16.0,+58 26 12, 5.96, 0.67,  G5V               ,*
   6,          ,   142,     ,         ,00 06 19.0,-49 04 30, 5.70, 0.52,  G1IV              ,*
   7, 10    Cas,   144,     ,         ,00 06 26.5,+64 11 46, 5.59,-0.03,  B9III             ,*
   8,          ,   166,   69,   33    ,00 06 36.8,+29 01 17, 6.13, 0.75,  K0V               ,*
   9,          ,   203,     ,         ,00 06 50.1,-23 06 27, 6.18, 0.38,  A7V               ,
  10,          ,   256,     ,         ,00 07 18.2,-17 23 11, 6.19, 0.14,  A6Vn              ,*
  11,          ,   315,     ,Var?     ,00 07 44.1,-02 32 56, 6.43,-0.14,  B8IIIpSi          ,*
  12,          ,   319,   89,   46    ,00 07 46.8,-22 30 32, 5.94, 0.14,  A2Vp:             ,*
  13,          ,   344,     ,         ,00 08 03.5,-33 31 46, 5.68, 1.12,  K1III             ,
  14,          ,   352,     ,AP Psc   ,00 08 12.1,-02 26 52, 6.07, 1.38,  K2III+F           ,*
  15, 21Alp And,   358,   94,Alp And  ,00 08 23.3,+29 05 26, 2.06,-0.11,  B8IVpMnHg         ,*
  16,          ,   360,     ,         ,00 08 17.4,-08 49 26, 5.99, 1.04, gG8                ,
  17,          ,   400,     ,         ,00 08 41.0,+36 37 36, 6.19, 0.48,  F8IV              ,
  18,          ,   402,     ,   51    ,00 08 33.4,-17 34 39, 6.06, 1.67,  M0III             ,*
  19,          ,   417,     ,         ,00 08 52.2,+25 27 46, 6.23, 0.97,  K0III             ,
  20,          ,   431,  102,         ,00 09 20.2,+79 42 53, 6.01, 0.19,  A7IV              ,*
  21, 11Bet Cas,   432,  107,Bet Cas  ,00 09 10.7,+59 08 59, 2.27, 0.34,  F2III-IV          ,*
